File,Location,Direct Dependencies
install-service.sh,identity/services/identity/,common-install-routines.sh; ensure-authentik-creds.sh; authentik-manager; site.json
update-service.sh,identity/services/identity/,install-service.sh
delete-service.sh,identity/services/identity/,common-install-routines.sh
test-service.sh,identity/services/identity/,common-install-routines.sh
#
# === logging ===
install.sh,logging/,update.sh
update.sh,logging/,common-install-routines.sh; site.json
test.sh,logging/,common-install-routines.sh
#
# === templates ===
update.sh,templates/,common-install-routines.sh; Create-TAPPaaS-VM.sh; zones.json
#
# === templates/services/debian ===
install-service.sh,templates/services/debian/,update-service.sh
update-service.sh,templates/services/debian/,common-install-routines.sh; update-os.sh
delete-service.sh,templates/services/debian/,
#
# === templates/services/nixos ===
install-service.sh,templates/services/nixos/,update-service.sh
update-service.sh,templates/services/nixos/,common-install-routines.sh; update-os.sh
delete-service.sh,templates/services/nixos/,
test-service.sh,templates/services/nixos/,common-install-routines.sh
#
# === templates/services/windows ===
install-service.sh,templates/services/windows/,common-install-routines.sh
update-service.sh,templates/services/windows/,common-install-routines.sh
test-service.sh,templates/services/windows/,common-install-routines.sh
#
# === templates/winserver ===
build-template.sh,templates/winserver/,
deploy-vms.sh,templates/winserver/,
#
# === Deprecated ===
migrate-zone-keys-to-camelcase.sh,Deprecated/,common-install-routines.sh; dns-manager; zone-manager; zones.json
migrate-zone-keys-to-underscore.sh,Deprecated/,common-install-routines.sh; dns-manager; zone-manager; zones.json
